,genes,symbol,entrezgene,log_fold_change,p_val,pval_adj,total_num_of_ligands,path,geneNames,num_genesinpathway,num_genesinbigM,geneNamesDE,num_genesDE,hypergeometric
0,ENSG00000134853,PDGFRA,5156,2.6979403,4.3324588310182135e-09,4.4886041075264655e-07,4,PID_ATF2_PATHWAY,"JUNB,CDK4,ESR1,NOS2,HRK,DDIT3,PDGFRA,MACROH2A1,BCL2,EP300,SOCS3,PLAU,IL23A,nan,MAPK8,GADD45A,DUSP1,JDP2,DUSP10,SELE,MAPK14,CBFB,DUSP8,MAPK1,TGFB2,CXCL8,RB1,PRKCA,MAPK3,CUL3,ACHE,CCND1,CCNA2,DUSP5,ATF3,RUVBL2,CREB1,KAT5,MMP2,JUN,JUND,nan,HES1,BRCA1,nan,POU2F1,MAPK11,ATF2,NF1,nan,MAPK9,nan,COL24A1,BCL2L1,PPARGC1A,CSRP2,nan,FOS,IL6",59,53,"NOS2,PDGFRA,DUSP1,ACHE,COL24A1",5,0.27012244335826807
1,ENSG00000134853,PDGFRA,5156,2.6979403,4.3324588310182135e-09,4.4886041075264655e-07,4,PID_PDGFRA_PATHWAY,"PIK3CA,CAV1,CRKL,GRB2,RAPGEF1,PIK3R1,ITGAV,JAK1,SHF,nan,PLCG1,FOS,PDGFRA,SHC1,SHB,nan,JUN,CSNK2A1,ELK1,SRF,SOS1,CRK",22,20,PDGFRA,1,0.4997746047263223
2,ENSG00000171051,FPR1,2357,2.0695922,3.747729523175434e-08,2.7980767465547393e-06,1,PID_UPA_UPAR_PATHWAY,"nan,nan,MMP3,PDGFD,VTN,nan,VLDLR,TGFB1,ITGA5,GPLD1,nan,FPR1,LRP1,FN1,PDGFRB,NCL,ITGB5,nan,RAC1,ITGB3,CRK,DOCK1,EGFR,HGF,PLAUR,nan,PLAU,nan,MMP9,nan,SERPINE1,nan,MMP13,BCAR1,nan,CTRC,ITGB1,ITGB2,SRC,ITGA3,ITGAV,FPR2",42,32,"FPR1,MMP9,SERPINE1",3,0.26870936783986404
3,ENSG00000157193,LRP8,7804,1.9510107,1.6586563533925214e-09,2.0077593503757878e-07,4,PID_LIS1_PATHWAY,"IQGAP1,CDC42,CSNK2A1,VLDLR,LRPAP1,NUDC,PAFAH1B2,CDK5,CDK5R2,ABL1,RAC1,YWHAE,CDK5R1,PLA2G7,CLIP1,LRP8,DAB1,DCX,MAP1B,PPP2R5D,NDEL1,RELN,PAFAH1B3,DYNC1H1,KATNA1,DYNLT1,PAFAH1B1,RHOA",28,28,"LRP8,DAB1,RELN",3,0.19597127788734123
4,ENSG00000157193,LRP8,7804,1.9510107,1.6586563533925214e-09,2.0077593503757878e-07,4,PID_REELIN_PATHWAY,"LRP8,ITGA3,CBL,MAPK8,MAP1B,MAP2K7,NCK2,MAPT,PIK3R1,CRKL,ARHGEF2,LRPAP1,GSK3B,VLDLR,RAPGEF1,DAB1,CDK5R1,AKT1,MAP3K11,ITGB1,RELN,RAP1A,PIK3CA,CDK5,FYN,GRIN2B,PAFAH1B1,GRIN2A",28,28,"LRP8,DAB1,RELN,GRIN2B",4,0.07593838609505321
5,ENSG00000160867,FGFR4,2264,1.9360939,8.057715912450049e-08,5.266348064568392e-06,4,PID_FGF_PATHWAY,"STAT1,AKT1,PIK3R1,JUN,FGFR1,nan,PLAUR,GAB1,FGF18,PLCG1,FGFR2,NCAM1,FGF2,FGFR3,FGF1,PDPK1,IL17RD,MAPK1,RUNX2,RPS6KA1,PLAU,CTNND1,SSH1,STAT5B,PTK2B,FGF17,CBL,CDH2,CAMK2A,CDH1,KLB,PTPN11,nan,MAPK3,nan,SRC,nan,SPRY2,SPP1,FOS,MET,MMP9,FRS2,SHC1,BGLAP,SDC2,nan,GRB2,HGF,CTTN,PIK3CA,SOS1,FGFR4,nan,PAK4",55,49,"FGFR2,FGF17,CDH1,MMP9,FGFR4",5,0.21421799713869458
6,ENSG00000128052,KDR,3791,1.5183518,0.0004610044614324684,0.006115932728614789,8,PID_AVB3_INTEGRIN_PATHWAY,"nan,PXN,ITGAV,PIK3R1,COL1A2,COL5A2,SRC,MAPK3,MAPK1,CDKN1B,COL11A2,HSP90AA1,CBL,PI4KB,COL5A1,TGFBR2,COL16A1,PTK2B,COL8A2,SDC1,ITGB3,RAC1,COL8A1,COL6A3,PTPN11,COL2A1,nan,TLN1,MFGE8,COL13A1,nan,FGF2,VAV3,COL6A1,RPS6KB1,EDIL3,COL11A1,CSF1R,COL4A5,ROCK1,PIK3C2A,COL15A1,IRS1,PI4KA,VTN,COL9A2,PIK3CA,AKT1,COL4A1,PTK2,COL17A1,COL7A1,COL1A1,IGF1R,CASP8,COL9A3,COL6A2,RHOA,VEGFA,SPP1,COL9A1,COL4A6,F11R,BCAR1,CSF1,COL14A1,COL3A1,FN1,ILK,KDR,COL12A1,ADGRA2,COL4A4,VCL",74,71,"COL1A2,COL8A2,COL8A1,COL6A3,COL2A1,MFGE8,COL9A3,COL4A6,COL14A1,COL3A1,KDR,COL4A4",12,0.004909069789856249
7,ENSG00000128052,KDR,3791,1.5183518,0.0004610044614324684,0.006115932728614789,8,PID_HES_HEY_PATHWAY,"MYB,nan,PARP1,RBBP8,HEY2,ARNT,RBPJ,GAA,E2F1,nan,nan,CTBP1,ASCL1,CDKN1B,NCOA1,YY1,GATA4,HEY1,HES6,TLE1,SPEN,CREBBP,GHR,KDR,AR,NOTCH1,TCF3,RCAN1,HDAC1,MAML1,EP300,JAK2,nan,STAT3,NCOR2,RUNX2,GATA6,MAML2,NCOR1,BGLAP,CAMK2D,HIF1A,KDM1A,RB1,TWIST1,HES1,ID1,nan",48,43,"GAA,ASCL1,KDR,MAML2",4,0.2791504096111367
8,ENSG00000128052,KDR,3791,1.5183518,0.0004610044614324684,0.006115932728614789,8,PID_HIF2PATHWAY,"SIRT1,CREBBP,EGLN2,FXN,EIF3E,SERPINE1,CITED2,EGLN1,SP1,KDR,SLC11A2,EP300,nan,EPAS1,PGK1,VEGFA,EFNA1,ELK1,ELOB,TWIST1,ABCG2,nan,BHLHE40,APEX1,SLC2A1,EGLN3,MMP14,FLT1,ETS1,HIF1AN,ELOC,ARNT,VHL,ADORA2A",34,32,"SERPINE1,KDR",2,0.4982109948350613
9,ENSG00000128052,KDR,3791,1.5183518,0.0004610044614324684,0.006115932728614789,8,PID_INTEGRIN3_PATHWAY,"COL4A5,VEGFA,LAMB1,L1CAM,ITGA2B,CCN1,COL4A6,nan,LAMA4,COL4A1,EDIL3,F11R,nan,PDGFB,FBN1,PDGFRB,nan,FN1,nan,SPHK1,TGFBR2,ITGB3,SPP1,COL1A1,COL1A2,LAMC1,TGFBI,TNC,PECAM1,PLAUR,VTN,PLAU,KDR,ITGAV,COL4A4,CD47,HMGB1,nan,THY1,THBS1,SDC4,PVR,SDC1",43,38,"CCN1,COL4A6,COL1A2,KDR,COL4A4",5,0.08880043070436949
