database,pathway,genes
PID,PID_HDAC_CLASSII_PATHWAY,"['TUBB2A', 'RANGAP1', 'NCOR2', 'HDAC9', 'HDAC5', 'YWHAB', 'GATA2', 'BCOR', 'GNG2', 'YWHAE', 'HDAC7', 'RANBP2', 'HDAC3', 'ANKRA2', 'ESR1', 'NR3C1', 'HDAC11', 'GNB1', 'RAN', 'GATA1', 'SUMO1', 'BCL6', 'MEF2C', 'SRF', 'UBE2I', 'HDAC6', 'HSP90AA1', 'HDAC10', 'RFXANK', 'GRK2', 'XPO1', 'CAMK4', 'HDAC4', 'TUBA1B']"
PID,PID_DNA_PK_PATHWAY,"['PRKDC', 'XRCC6', 'APLF', 'CSNK2A1', 'XRCC5', 'POLL', 'APTX', 'CSNK2A2', 'XRCC4', 'DNTT', 'LIG4', 'DCLRE1C', 'NHEJ1', 'PNKP', 'CSNK2B', 'POLM']"
PID,PID_INTEGRIN_CS_PATHWAY,"['ITGA2B', 'ITGA7', 'ITGA3', 'ITGA8', 'ITGA5', 'ITGB1', 'ITGAE', 'ITGAL', 'ITGAM', 'ITGB5', 'ITGB8', 'ITGA11', 'ITGB4', 'ITGA6', 'ITGA2', 'ITGA10', 'ITGAD', 'ITGA1', 'ITGB2', 'ITGB3', 'ITGAV', 'ITGB6', 'ITGB7', 'ITGA9', 'ITGA4', 'ITGAX']"
PID,PID_ARF6_TRAFFICKING_PATHWAY,"['PIP5K1C', 'SLC2A4', 'DNM2', 'ARF6', 'ITGA2', 'ITGA1', 'NME1', 'EXOC6', 'MAPK8IP3', 'IL2RA', 'ITGB1', 'ITGA4', 'VAMP3', 'SPAG9', 'EXOC2', 'ITGA8', 'CPE', 'CTNNB1', 'ASAP2', 'EXOC4', 'PLD2', 'ITGA6', 'ITGA5', 'RALA', 'CTNNA1', 'ITGAV', 'PLD1', 'EXOC3', 'CTNND1', 'INS', 'TSHR', 'AGTR1', 'EDNRB', 'SCAMP2', 'ADRB2', 'ITGA3', 'ACAP1', 'ITGA9', 'CLTC', 'EXOC1', 'ITGA10', 'ITGA11', 'ITGA7', 'EXOC7', 'EXOC5', 'AVPR2', 'KLC1', 'CDH1', 'BIN1']"
PID,PID_ILK_PATHWAY,"['PPP1R14A', 'RAC1', 'RUVBL2', 'ZEB1', 'TACC3', 'PPP1R14B', 'CDC42', 'ELMO2', 'RHOG', 'PARP1', 'NACA', 'LIMS2', 'GSK3B', 'LIMS1', 'ZYX', 'XPO1', 'GIT2', 'RICTOR', 'PPP1R12A', 'PARVG', 'ILK', 'ARHGEF6', 'MYL9', 'PARVA', 'CDC37', 'AURKA', 'HSP90AA1', 'CCND1', 'TNS1', 'CREB1', 'ILKAP', 'PARVB', 'RUVBL1', 'ACTN1', 'JUN', 'PPP1R14C', 'CTNNB1', 'SNAI1', 'AKT1', 'ARHGEF7', 'NCK2', 'PXN', 'IQGAP1', 'CKAP5', 'DIAPH1']"
PID,PID_CIRCADIAN_PATHWAY,"['ATR', 'NPAS2', 'PER2', 'CSNK1E', 'TIMELESS', 'ARNTL', 'BHLHE40', 'CHEK1', 'CRY2', 'NR1D1', 'WDR5', 'CRY1', 'DELEC1', 'CLOCK', 'NONO', 'PER1']"
PID,PID_HDAC_CLASSI_PATHWAY,"['MBD3', 'CREBBP', 'SIN3A', 'CHD3', 'SMAD7', 'STAT3', 'TNFRSF1A', 'PRKACA', 'MXD1', 'SIRT2', 'WDR77', 'FKBP3', 'RAN', 'SUMO1', 'SIRT5', 'YY1', 'NCOR2', 'HDAC6', 'MBD3L2', 'RANGAP1', 'HDAC1', 'RANBP2', 'RELA', 'NR2C1', 'HDAC9', 'RBBP4', 'RBBP7', 'HDAC3', 'NCOR1', 'SMURF1', 'SMG5', 'KAT2B', 'ZFPM1', 'HDAC10', 'HDAC4', 'MBD2', 'PRMT5', 'MTA2', 'NFKB1', 'NFKBIA', 'TFCP2', 'UBE2I', 'PPARG', 'MAX', 'CHD4', 'TNF', 'GATAD2B', 'SIRT3', 'SIRT4', 'HDAC2', 'GATA2', 'SAP18', 'HDAC11', 'SIN3B', 'XPO1', 'SAP30', 'SIRT6', 'SIRT1', 'GATA1', 'HDAC7', 'SIRT7', 'GATAD2A', 'SSPOP', 'EP300', 'HDAC8', 'HDAC5']"
PID,PID_CONE_PATHWAY,"['ARR3', 'GUCY2D', 'SLC24A2', 'GRK1', 'GNB5', 'RDH12', 'GRK7', 'GUCY2F', 'PDE6C', 'RPE65', 'CNGA3', 'GUCA1B', 'RDH5', 'CNGB3', 'RGS9', 'GNAT2', 'PDE6H', 'GNGT2', 'GUCA1A', 'RGS9BP', 'LRAT', 'GUCA1C', 'GNB3']"
PID,PID_ERB_GENOMIC_PATHWAY,"['SMARCA4', 'SMARCB1', 'ESR2', 'NCOA1', 'SMARCE1', 'NR0B2', 'NEDD8', 'NCOA2', 'UBA3', 'NR0B1', 'ZNF14', 'UBE2M', 'DDX54', 'NCOA3', 'C3']"
PID,PID_VEGF_VEGFR_PATHWAY,"['FLT1', 'VEGFA', 'PGF', 'VEGFD', 'NRP2', 'KDR', 'FLT4', 'VEGFB', 'NRP1', 'VEGFC']"
