Gene stable ID,Human gene stable ID,Human gene name
ENSMUSG00002075795,ENSG00000275877,5_8S_rRNA
ENSMUSG00002075795,ENSG00000283568,5_8S_rRNA
ENSMUSG00002075795,ENSG00000278294,5_8S_rRNA
ENSMUSG00002075795,ENSG00000276871,5_8S_rRNA
ENSMUSG00002075795,ENSG00000283291,5_8S_rRNA
ENSMUSG00002075795,ENSG00000283274,5_8S_rRNA
ENSMUSG00002076167,ENSG00000277411,5S_rRNA
ENSMUSG00002076279,ENSG00000277411,5S_rRNA
ENSMUSG00002075612,ENSG00000277411,5S_rRNA
ENSMUSG00002076358,ENSG00000277411,5S_rRNA
ENSMUSG00002076141,ENSG00000277411,5S_rRNA
ENSMUSG00002076864,ENSG00000277411,5S_rRNA
ENSMUSG00002075695,ENSG00000277411,5S_rRNA
ENSMUSG00002075053,ENSG00000277411,5S_rRNA
ENSMUSG00002074915,ENSG00000277411,5S_rRNA
ENSMUSG00002074925,ENSG00000277411,5S_rRNA
ENSMUSG00002076362,ENSG00000277411,5S_rRNA
ENSMUSG00002076573,ENSG00000277411,5S_rRNA
ENSMUSG00002076988,ENSG00000277411,5S_rRNA
ENSMUSG00002075091,ENSG00000277411,5S_rRNA
ENSMUSG00002076400,ENSG00000271394,7SK
ENSMUSG00002075429,ENSG00000274303,7SK
ENSMUSG00002075735,ENSG00000277313,7SK
ENSMUSG00002075735,ENSG00000273591,7SK
ENSMUSG00002075735,ENSG00000275933,7SK
ENSMUSG00002075007,ENSG00000276626,7SK
ENSMUSG00002075278,ENSG00000276626,7SK
ENSMUSG00000022347,ENSG00000121410,A1BG
ENSMUSG00000052595,ENSG00000148584,A1CF
ENSMUSG00000030111,ENSG00000175899,A2M
ENSMUSG00000028794,ENSG00000184389,A3GALT2
ENSMUSG00000047878,ENSG00000128274,A4GALT
ENSMUSG00000037953,ENSG00000118017,A4GNT
ENSMUSG00000036678,ENSG00000094914,AAAS
ENSMUSG00000029482,ENSG00000081760,AACS
ENSMUSG00000027761,ENSG00000114771,AADAC
ENSMUSG00000091376,ENSG00000197953,AADACL2
ENSMUSG00000078507,ENSG00000188984,AADACL3
ENSMUSG00000028593,ENSG00000204518,AADACL4
ENSMUSG00000070609,ENSG00000204518,AADACL4
ENSMUSG00000078505,ENSG00000204518,AADACL4
ENSMUSG00000041735,ENSG00000204518,AADACL4
ENSMUSG00000078504,ENSG00000204518,AADACL4
ENSMUSG00000057228,ENSG00000109576,AADAT
ENSMUSG00000037257,ENSG00000103591,AAGAB
ENSMUSG00000057230,ENSG00000115977,AAK1
ENSMUSG00000035642,ENSG00000087884,AAMDC
ENSMUSG00000006299,ENSG00000127837,AAMP
ENSMUSG00000020804,ENSG00000129673,AANAT
ENSMUSG00000027628,ENSG00000131043,AAR2
ENSMUSG00000068522,ENSG00000205002,AARD
ENSMUSG00000031960,ENSG00000090861,AARS1
ENSMUSG00000023938,ENSG00000124608,AARS2
ENSMUSG00000075528,ENSG00000266967,AARSD1
ENSMUSG00000055923,ENSG00000157426,AASDH
ENSMUSG00000025894,ENSG00000149313,AASDHPPT
ENSMUSG00000029695,ENSG00000008311,AASS
ENSMUSG00000018697,ENSG00000275700,AATF
ENSMUSG00000025375,ENSG00000181409,AATK
ENSMUSG00000057880,ENSG00000183044,ABAT
ENSMUSG00000015243,ENSG00000165029,ABCA1
ENSMUSG00000050296,ENSG00000144452,ABCA12
ENSMUSG00000004668,ENSG00000179869,ABCA13
ENSMUSG00000026944,ENSG00000107331,ABCA2
ENSMUSG00000024130,ENSG00000167972,ABCA3
ENSMUSG00000028125,ENSG00000198691,ABCA4
ENSMUSG00000018800,ENSG00000154265,ABCA5
ENSMUSG00000044749,ENSG00000154262,ABCA6
ENSMUSG00000035722,ENSG00000064687,ABCA7
ENSMUSG00000020620,ENSG00000141338,ABCA8
ENSMUSG00000041797,ENSG00000154258,ABCA9
ENSMUSG00000040584,ENSG00000085563,ABCB1
ENSMUSG00000028970,ENSG00000085563,ABCB1
ENSMUSG00000031974,ENSG00000135776,ABCB10
ENSMUSG00000027048,ENSG00000073734,ABCB11
ENSMUSG00000042476,ENSG00000005471,ABCB4
ENSMUSG00000072791,ENSG00000004846,ABCB5
ENSMUSG00000026198,ENSG00000115657,ABCB6
ENSMUSG00000031333,ENSG00000131269,ABCB7
ENSMUSG00000028973,ENSG00000197150,ABCB8
ENSMUSG00000029408,ENSG00000150967,ABCB9
ENSMUSG00000023088,ENSG00000103222,ABCC1
ENSMUSG00000032842,ENSG00000124574,ABCC10
ENSMUSG00000036872,ENSG00000140798,ABCC12
ENSMUSG00000025194,ENSG00000023839,ABCC2
ENSMUSG00000020865,ENSG00000108846,ABCC3
ENSMUSG00000032849,ENSG00000125257,ABCC4
ENSMUSG00000022822,ENSG00000114770,ABCC5
ENSMUSG00000030834,ENSG00000091262,ABCC6
ENSMUSG00000040136,ENSG00000006071,ABCC8
ENSMUSG00000030249,ENSG00000069431,ABCC9
ENSMUSG00000031378,ENSG00000101986,ABCD1
ENSMUSG00000055782,ENSG00000173208,ABCD2
ENSMUSG00000028127,ENSG00000117528,ABCD3
ENSMUSG00000021240,ENSG00000119688,ABCD4
ENSMUSG00000058355,ENSG00000164163,ABCE1
ENSMUSG00000038762,ENSG00000204574,ABCF1
ENSMUSG00000028953,ENSG00000033050,ABCF2
ENSMUSG00000003234,ENSG00000161204,ABCF3
ENSMUSG00000024030,ENSG00000160179,ABCG1
